source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason 
783606,India is building Ram Mandir and manufacturing vaccine for the world.,Pro Ruling,pro ruling,ram mandir,"['vaccine', 'india', 'manufacturing']","[{'text': 'vaccine', 'score': 0.5252}, {'text': 'india', 'score': 0.4336}, {'text': 'manufacturing', 'score': 0.2054}]",For ,"shows how India is doing great things, one being the creation of ram mandir. "
613176,"Finally, the most awaited day for Hindus has arrived; Wait of over 500 years is over as #Ramlalla returns to his birthplace: #RamMandirAyodhya https://t.co/xFirxviUmH via @eOrganiser",Pro Ruling,pro ruling,ram mandir,"['hindus', 'wait', '500']","[{'text': 'hindus', 'score': 0.697}, {'text': 'wait', 'score': 0.2435}, {'text': '500', 'score': 0.2074}]",For ,claims that ram mandir is the most awaited day for Hindus. 
1951230,"One of the most remarkable constructions under progress is the Hindu Temple, Ram Mandir, located in Ayodhya of Uttar Pradesh. The construction of Ram Mandir is going on the ground site where Lord Rama had taken birth. #भारत_गौरव_श्रीराम_मंदिर https://t.co/KdwD7XsipE",Pro Ruling,pro ruling,ram mandir,"['hindu', 'progress', 'under']","[{'text': 'hindu', 'score': 0.5967}, {'text': 'progress', 'score': 0.2586}, {'text': 'under', 'score': 0.155}]",For ,"claims it is the one of the ""most remarkable"" constructions. "
1296504,"5th August 

#Olympics #Hockey Bronze Medal after 41 years

#RamMandir after 500 years

 #AbrogationOf370 #OneIndia after 70 years  

Jai Hind https://t.co/hmG1OuCMfV https://t.co/sAAit3HjRj",Pro Ruling,pro ruling,ram mandir,"['medal', 'hockey', 'india']","[{'text': 'medal', 'score': 0.632}, {'text': 'hockey', 'score': 0.5622}, {'text': 'india', 'score': 0.2142}]",For ,shows how 5th august is a great day for india due to ram mandir and because we won in olympics. 
2444071,"Let MCD elections get over, Kejriwal will take Delhites to the theaters to watch Kashmir files for free, just like he has promised Delhites free visits to Ram mandir for darshan. Right now he needs votes from all communities. Media will of course oblige.",Pro OPP,pro opposition,ram mandir,"['kashmir', 'elections', 'theaters']","[{'text': 'kashmir', 'score': 0.4503}, {'text': 'elections', 'score': 0.3064}, {'text': 'theaters', 'score': 0.2625}]",Neutral ,no stance taken on ram mandir. 
165649,Advani raised the Ram Mandir issue &amp; took out a Rath Yatra which left a trial of blood across India. M M Joshi was present with Advani on the spot. Both under trials in the criminal case &amp; @narendramodi will do the Bhoomi pujan. Politics of Ram Mandir,Pro OPP,pro opposition,ram mandir,"['narendramodi', 'blood', 'both']","[{'text': 'narendramodi', 'score': 0.5169}, {'text': 'blood', 'score': 0.2778}, {'text': 'both', 'score': 0.2659}]",Against ,calls out the dirty politics behind ram mandir. 
499006,"So on 5th August- the most auspicious  symbol of national unity, integration &amp; harmony Shri Ram Mandir Bhoomipujan will happen... Congress &amp; Rahul chamchas will mark it as BLACK DAY! 

Would they mock any other faith like this? Would 25th Dec be observed as Black Day? https://t.co/ZBQHm9zepn",Pro Ruling,pro ruling,ram mandir,"['day', 'black', 'congress']","[{'text': 'day', 'score': 0.3851}, {'text': 'black', 'score': 0.3654}, {'text': 'congress', 'score': 0.2425}]",For ,"condemns rahul gandhi and his ""chamchas"" for declaring 5th august as black day for the inaugration of ram mandir. Says no other faith is mocked like hinduism. "
427242,"Babar ne Ram Mandir kya Advani ki rath Yatra dekh kar tudwaya tha? 
Ahmad Shah Abdali ne Kashmir mein kya 370 hatne par Hinduon ko katwaya tha? 
Timur ne Kafiron ke sir kaat ke minar kya CAA ke baad banwaya tha? 
Jinnah ko kaunsa Gandhi ne kaat khaaya tha? https://t.co/h8I9i2aZyn",Pro Ruling,pro ruling,ram mandir,"['hinduon', 'kafiron', 'ne']","[{'text': 'hinduon', 'score': 0.6386}, {'text': 'kafiron', 'score': 0.2557}, {'text': 'ne', 'score': 0.1533}]",For ,mocks critics of ram mandir. 
1179145,Librandus hate President of India mainly because he donated 5 lakhs for Ram Mandir,Pro Ruling,pro ruling,ram mandir,"['hate', 'india', 'donated']","[{'text': 'hate', 'score': 0.373}, {'text': 'india', 'score': 0.2274}, {'text': 'donated', 'score': 0.1167}]",For ,shows how president receives hate for donating money to ram mandir. 
253497,"I've filed a Letter PIL with the Allahabad High Court seeking a stay on the Ram Mandir event in Ayodhya in view of the Unlock 2.0 guidelines &amp; in the interest of public health during a pandemic.

Dunno what comes out of it but we must not stop doing the right thing &amp; speaking up. https://t.co/LYBEwmJp2Q",Pro OPP,pro opposition,ram mandir,"['ayodhya', 'pandemic', 'court']","[{'text': 'ayodhya', 'score': 0.5263}, {'text': 'pandemic', 'score': 0.3384}, {'text': 'court', 'score': 0.2305}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
1068883,"Because of incompetence and inefficiency of Hindu rakshak party and its' Hindu hriday samrat leader(s) thousands of hindus got kîllèd. 

Yet, the fake Hindu rakshak party has a dream to come back in U.P. in 2022 based on Ram mandir and hindu-muslim propaganda. Amazing.",Pro OPP,pro opposition,ram mandir,"['hindus', 'fake', 'inefficiency']","[{'text': 'hindus', 'score': 0.5165}, {'text': 'fake', 'score': 0.243}, {'text': 'inefficiency', 'score': 0.1331}]",Against ,"shows how bjp is a ""fake"" protector of hinduism. "
228940,"“If the Babri Masjid was not demolished, and Hindus went to court saying that Ram was born there, would the court have ordered it to be demolished?”  a former Supreme Court judge asks. 

#BabriJasjid #RamMandir 

https://t.co/BhXlBnm32V",Pro OPP,pro opposition,ram mandir,"['hindus', 'demolished', 'judge']","[{'text': 'hindus', 'score': 0.3879}, {'text': 'demolished', 'score': 0.3079}, {'text': 'judge', 'score': 0.2867}]",Against ,shows how former supreme court judge asks a critical question of ram mandir. 
214780,"Dear leaders, if you have any compassion and respect for the citizens of India facing an unprecedented pandemic like Covid, please, please, postpone the proposed  ""Bhavya Bhumi Poojan Samaroh"" for the Ram Mandir in Ayodhya until the nation's health is restored...Thank you.🙏 https://t.co/4UUlM8NzVq",Pro OPP,pro opposition,ram mandir,"['ayodhya', 'pandemic', 'postpone']","[{'text': 'ayodhya', 'score': 0.5262}, {'text': 'pandemic', 'score': 0.3707}, {'text': 'postpone', 'score': 0.3474}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
158818,"AAP and Kejriwal honor Hanuman, support Ram Mandir and reintegration of Kashmir. But they oppose CAA that protects Hindu refugees from Pakistan, Afghanistan and Bangladesh. Have they no sympathy for oppressed Hindus outside of India?",Pro Ruling,pro ruling,ram mandir,"['hindus', 'reintegration', 'protects']","[{'text': 'hindus', 'score': 0.5729}, {'text': 'reintegration', 'score': 0.198}, {'text': 'protects', 'score': 0.1965}]",Neutral ,no stance taken on ram mandir. 
708493,"On 2nd Covid wave:

Leftists are mocking construction of Ayodhya's Ram Mandir despite knowing that it's funded by devotees, not govt. This is hatred for Hindus.

But they won't mock construction of Dhannipur Mosque in Ayodhya &amp; its donation because secularism will come in danger.",Pro Ruling,pro ruling,ram mandir,"['hindus', 'leftists', 'wave']","[{'text': 'hindus', 'score': 0.5717}, {'text': 'leftists', 'score': 0.4458}, {'text': 'wave', 'score': 0.0902}]",For ,shows that those mocking construction of ram mandir harbour hatred for hindus. 
23255,"The best day of my Twitter life was when the verdict on Ram Mandir came. But I will be the happiest person in this world when the most handsome, most dynamic, the global supremo leader @Dr_Uditraj ji will become the President of Congress. Fingers crossed. 

#MainBhiUditraj",Pro Ruling,pro ruling,ram mandir,"['happiest', 'leader', 'congress']","[{'text': 'happiest', 'score': 0.5749}, {'text': 'leader', 'score': 0.4024}, {'text': 'congress', 'score': 0.2837}]",For ,shows happiness with ram mandir verdict. 
278556,"On 25 December:

Peacefuls attacked the Hindus who took out a Ramnidhi Sangrahan rally in Ujjain

On 29 December:

Peacefuls attacked another rally of Hindu organization in Indore that was collecting donations for Ram Mandir 

Why so much hatred against Hindus?",Pro Ruling,pro ruling,ram mandir,"['hindus', 'hatred', 'rally']","[{'text': 'hindus', 'score': 0.6111}, {'text': 'hatred', 'score': 0.4116}, {'text': 'rally', 'score': 0.4092}]",For ,"shows how there is hatred for hindus in india, especially regarding their treatment based on ram mandir. "
748079,"Congress tried very hard to prove that Ram Mandir Trust did a land scam

But Congress failed

Now they are once again shouting that scam took place in Rafale deal

People won't trust Congress anymore

Remember that even the Supreme Court had said there was NO scam in Rafale deal",Pro Ruling,pro ruling,ram mandir,"['congress', 'scam', 'failed']","[{'text': 'congress', 'score': 0.4432}, {'text': 'scam', 'score': 0.4271}, {'text': 'failed', 'score': 0.2317}]",For ,claims that congress tried to spread fake news that ram mandir trust was done through a land scam. 
36348,"Rajiv Feroze Khan, offspring of a foreigner mother, Kejriwal terrorist, AAP is Muslim League, Goli maro, Shaheen Babg is Pakistan, anti CAA /NRC protestors will attack houses and will rape women, Ram Mandir, Article 370, Pakistan, Imran Khan..

BJP's election campaign in Delhi!",Pro OPP,pro opposition,ram mandir,"['khan', 'rape', 'protestors']","[{'text': 'khan', 'score': 0.474}, {'text': 'rape', 'score': 0.3582}, {'text': 'protestors', 'score': 0.3359}]",Against ,shows how bjp's election campaign tries to polarise hindu-muslim identities. 
739218,"From demanding Ram Mandir to Remdesivir, Indian has come a long way",Pro OPP,pro opposition,ram mandir,"['indian', 'long', 'come']","[{'text': 'indian', 'score': 0.5941}, {'text': 'long', 'score': 0.4097}, {'text': 'come', 'score': 0.3244}]",Against ,underlying tone shows that initially demanding ram mandir was a bad call. 
748412,"Joe Biden attended a church ceremony before inauguration.

Harris took her oath on 2 Bibles!

And here in India, liberals are angry that India's President donated 5 lakhs from his pocket for Ram Mandir construction.",Pro Ruling,pro ruling,ram mandir,"['liberals', 'donated', 'india']","[{'text': 'liberals', 'score': 0.4304}, {'text': 'donated', 'score': 0.3267}, {'text': 'india', 'score': 0.3222}]",For ,shows how president receives hate for donating money to ram mandir. 
128105,I proudly wear Bhagwa on my sleeve. I am a proud Hindu. Today is a proud day. No invaders can ever stop us Hindus. We are United Hindus. #RamMandir #JaiShriRam,Pro Ruling,pro ruling,ram mandir,"['hindus', 'bhagwa', 'proud']","[{'text': 'hindus', 'score': 0.737}, {'text': 'bhagwa', 'score': 0.492}, {'text': 'proud', 'score': 0.3595}]",For ,shows pride in ram mandir. 
2494076,"In 1991 UP elections, BJP came to power winning 221/425 seats by promising Ram Mandir. Babri Masjid was demolished in December 1992. Communalism was at its peak. UP CM Kalyan Singh was a hero of Hindus, someone who was unapologetic about demolition of Babri Masjid.",Pro OPP,pro opposition,ram mandir,"['hindus', 'elections', 'demolished']","[{'text': 'hindus', 'score': 0.5918}, {'text': 'elections', 'score': 0.3365}, {'text': 'demolished', 'score': 0.2328}]",Against,shows how bjp wins seats by promoting and delivering communalism. 
838857,A Chennai based Muslim businessman has donated ₹1 lakh for Ram Mandir. He can still not be sure whether he'll be allowed to enter the premises to drink water.,Pro OPP,pro opposition,ram mandir,"['donated', 'muslim', 'businessman']","[{'text': 'donated', 'score': 0.4098}, {'text': 'muslim', 'score': 0.3439}, {'text': 'businessman', 'score': 0.3165}]",Against ,shows the dirty politics behind ram mandir and its hypocricy. 
2707252,"9 reasons why I feel my vote for @narendramodi was worth it! #9YearsOfModiGovernment

1) Abrogation of Article 370
2) Ram Mandir 
3) Rejuvenation of Hindu religious sites like Kashi and Ujjain 
4)Financial Inclusiveness (#jandhan #mudra #upi 
5) Massive improvement in railways… https://t.co/UNHVrnOE4Q",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'vote', 'worth']","[{'text': 'narendramodi', 'score': 0.5532}, {'text': 'vote', 'score': 0.3299}, {'text': 'worth', 'score': 0.2964}]",For ,feels pride in giving vote to modi for all that he has achieved including ram mandir. 
1407989,"A party that won 2014 and 2019 General elections on the issue of Ayodhya Ram mandir, lost the Panchayat elections of Ayodhya.
Too much Democracy??
#UPPanchayatElection2021",Pro OPP,pro opposition,ram mandir,"['elections', 'ayodhya', 'lost']","[{'text': 'elections', 'score': 0.5352}, {'text': 'ayodhya', 'score': 0.4619}, {'text': 'lost', 'score': 0.2411}]",Against ,shows how panchayat elections are more democractic that general ones. 
87584,My take: a Ram Mandir will be built but who will build a better India? Think about it.. https://t.co/pslwJDjyHi @IndiaToday,Pro OPP,pro opposition,ram mandir,"['india', 'build', 'better']","[{'text': 'india', 'score': 0.5604}, {'text': 'build', 'score': 0.3005}, {'text': 'better', 'score': 0.2421}]",Against ,claims how ram mandir does not equate to a better india. 
1140932,"""By sending the cheque to PM instead of the @ShriRamTeerth &amp; by demanding proof from VHP, Congress has yet again used the Ram Mandir for playing dirty political games. Ram Bhakts are not like them!""

Dr. Surendra Jain, Vice President of VHP replies to @digvijaya_28

@VHPDigital https://t.co/mwsdN7DWHS",Pro Ruling,pro ruling,ram mandir,"['congress', 'games', 'dr']","[{'text': 'congress', 'score': 0.5012}, {'text': 'games', 'score': 0.2088}, {'text': 'dr', 'score': 0.1715}]",For ,shows how congress is trying to manipulate something auspicious like randir into dirty politics. 
2781571,"After the plan of banning Bajrang Dal backfired,

Karnataka Congress chief DK Shivkumar has promised to build Hanuman temples across the state

For decades, Congress did not let Hindus build 'one' Ram Mandir in Ayodhya

Stop fooling Hindus!",Pro Ruling,pro ruling,ram mandir,"['hindus', 'congress', 'backfired']","[{'text': 'hindus', 'score': 0.5608}, {'text': 'congress', 'score': 0.2835}, {'text': 'backfired', 'score': 0.0717}]",For ,claims that hindus will no longer be fooled. 
2216191,"Hindu, #RamMandir judgment ke baad chupchap diya Jalata hai. 

Woh Jihadi Babar ki encroachment ke liye Bombay mein Blast kar dete hain. 

Two India's Indeed.",Pro Ruling,pro ruling,ram mandir,"['hindu', 'judgment', 'encroachment']","[{'text': 'hindu', 'score': 0.6921}, {'text': 'judgment', 'score': 0.3536}, {'text': 'encroachment', 'score': 0.2457}]",For ,draws a difference between peaceful hindus and violent muslims. 
2611324,"Congress again showed their Hindu Hatred as they chose to wear black clothes on the day when Ram Mandir Shilanyas was done. 

 https://t.co/bQ8P0MqZL0",Pro Ruling,pro ruling,ram mandir,"['hindu', 'congress', 'hatred']","[{'text': 'hindu', 'score': 0.4773}, {'text': 'congress', 'score': 0.3958}, {'text': 'hatred', 'score': 0.3324}]",For ,shows how congress is trying to manipulate something auspicious like randir into dirty politics. 
70781,"PM @narendramodi to take part in #BhumiPoojan for laying of the foundation stone of Ram Mandir in #Ayodhya
#AyodhyaRamMandir #AyodhyaBhoomipoojan https://t.co/JWm8u7LUHC",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'foundation', 'poo']","[{'text': 'narendramodi', 'score': 0.57}, {'text': 'foundation', 'score': 0.3363}, {'text': 'poo', 'score': 0.3299}]",For ,hashtag suggests tone of pride. 
409444,"Statement by LK Advani on Bhoomi Poojan, Ayodhya. ‘It is my belief that Shri Ram Mandir will represent India as a strong, prosperous, peaceful &amp; harmonious nation with justice for all and exclusion of none so that we can truly usher in Ram Rajya, the epitome of good governance.’ https://t.co/lpeu1Rp6LN",Pro Ruling,pro ruling,ram mandir,"['india', 'governance', 'good']","[{'text': 'india', 'score': 0.5117}, {'text': 'governance', 'score': 0.3127}, {'text': 'good', 'score': 0.1754}]",For ,positive attitude. 
2743232,"MP: Fazil Khan willingly accepts Hinduism and marries a Hindu girl in a Ram Mandir, says he is happy to accept Janeu in front of Lord Ram's idol

https://t.co/unH5d6mCTV",Pro Ruling,pro ruling,ram mandir,"['hinduism', 'willingly', 'marries']","[{'text': 'hinduism', 'score': 0.5104}, {'text': 'willingly', 'score': 0.3124}, {'text': 'marries', 'score': 0.2849}]",For ,shows how muslims also support it. 
2797894,"Modi se kabhi kuch mat maangna LeLis - turant Tathaastu bol deta hai ! 

1st Ram Mandir 
Then Article 370
Now #G20InKashmir 🔥😅 https://t.co/yTmfHwGeoa",Pro Ruling,pro ruling,ram mandir,"['kashmir', 'now', 'g20in']","[{'text': 'kashmir', 'score': 0.6205}, {'text': 'now', 'score': 0.2949}, {'text': 'g20in', 'score': 0.2893}]",For ,shows how modi delivers on every promise. 
255607,"""Best wishes for #RamMandir's #BhumiPujan. We hope that today's event will pave towards brotherhood and national unity. #JaiSiyaRam,"" said the party's Chief Spokesperson Randeep Surjewala (@rssurjewala).

The Congress has not been invited for the official ceremony at #Ayodhya. https://t.co/06TLjMfiaX",Pro OPP,pro opposition,ram mandir,"['mandir', 'party', 'congress']","[{'text': 'mandir', 'score': 0.4544}, {'text': 'party', 'score': 0.4035}, {'text': 'congress', 'score': 0.3147}]",Against ,"underlying tone of sarcasm shows how even though ram mandir seeks to pave the way of national unity and brotherhood, its playing dirty politics as congress was not invited. "
2852321,"“If Rahul wants to achieve the objectives of the Yatra, he should refrain from attacking the ruling party but conclude the Yatra every day with new messages of love and unity,"" Acharya Satyendra Das, the chief priest of the Ram Mandir in Ayodhya said.  

https://t.co/MNxqX28KB1",Pro OPP,pro opposition,ram mandir,"['yatra', 'party', 'objectives']","[{'text': 'yatra', 'score': 0.5614}, {'text': 'party', 'score': 0.3434}, {'text': 'objectives', 'score': 0.2538}]",For ,shows how ram mandir is peaceful. 
126917,"PM @narendramodi dream innings:
◆28/9/16:Surgical Strike
◆8/11/16:Demonetization
◆1/7/17:GST
◆8/1/19:EWS 
◆27/2/19:Surgical Strike
◆27/3/19:ASAT Missile
◆30/7/19:TT Bill
◆2/8/19:UAPA
◆5/8/19: Abrogation of 370/35A
◆11/9/19: CAA
◆5/8/20: Ram Mandir Bhumi Pujan",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'strike', 'dream']","[{'text': 'narendramodi', 'score': 0.5416}, {'text': 'strike', 'score': 0.4526}, {'text': 'dream', 'score': 0.4349}]",For ,shows how modi delivers on every promise. 
75239,"A letter to Mahatma Gandhi. Dear Bapu, Ram Mandir will be built, but who will build Ramrajya in India? My piece in today’s Sunday @timesofindia https://t.co/cniskJGoZv",Pro OPP,pro opposition,ram mandir,"['ramrajya', 'build', 'timesofindia']","[{'text': 'ramrajya', 'score': 0.6783}, {'text': 'build', 'score': 0.3555}, {'text': 'timesofindia', 'score': 0.2169}]",For ,shows how next step is ramrajya in india. 
277342,"We came out, stood in queue for an hour and voted for Modiji in 2019 Elections

For taking the trouble of visiting the voting booth, PM Modi gifted us with Ram Mandir

100% Paisa Vasool",Pro Ruling,pro ruling,ram mandir,"['paisa', 'elections', 'queue']","[{'text': 'paisa', 'score': 0.4164}, {'text': 'elections', 'score': 0.4013}, {'text': 'queue', 'score': 0.2669}]",For ,shows how modi has gifted hindus with ram mandir. 
1417112,"@RakeshSinha01 @RahulGandhi Sinha it’s not a God competition!! Try competing with @INCIndia on humanity &amp; governance. Indian are hungry, their pockets bankrupted, their hearts broken for want of oxygen, beds &amp; #COVID19 relief, that your government failed provide in #7yearsOfModiMadeDisaster  
#RamMandirScam",Pro OPP,pro opposition,ram mandir,"['indian', 'competing', 'bankrupted']","[{'text': 'indian', 'score': 0.5036}, {'text': 'competing', 'score': 0.2955}, {'text': 'bankrupted', 'score': 0.1719}]",Against ,calls ram mandir a scam. 
554474,Why is India facing so many challenges even after getting the land of a mosque to build a Ram Mandir! https://t.co/3IbiJLgyJ0,Pro OPP,pro opposition,ram mandir,"['india', 'mosque', 'challenges']","[{'text': 'india', 'score': 0.5186}, {'text': 'mosque', 'score': 0.3961}, {'text': 'challenges', 'score': 0.3264}]",Against ,subtly mocks ram mandir. 
2441178,"This genocidal monk Bajrang Muni said in 2018, ""Ram Mandir can be built only if Hindus pick up weapons and make a pile of corpses upto Ayodhya of whoever comes in the way of Ram Mandir.""

Now he is normalising rape of Muslim women.
#ArrestBajrangMuni https://t.co/oXhlSMWpKG https://t.co/bQ4hW2mc9N",Pro OPP,pro opposition,ram mandir,"['hindus', 'corpses', 'normalising']","[{'text': 'hindus', 'score': 0.6046}, {'text': 'corpses', 'score': 0.1498}, {'text': 'normalising', 'score': 0.0995}]",Against ,shows how ram mandir is built on violence and aggression and its monks promote rape of muslim women and massacre of the muslim community. 
22587,"The Vishwa Hindu Parishad (@VHPDigital) has profusely thanked Prime Minister #NarendraModi (@narendramodi) for mentioning #RamMandir in his #IndependenceDay speech from the ramparts of the #RedFort on Saturday.

#74thIndependenceDay @vinod_bansal https://t.co/pfzFUw8BuT",Pro OPP,pro opposition,ram mandir,"['narendramodi', 'thanked', 'vhpdigital']","[{'text': 'narendramodi', 'score': 0.5583}, {'text': 'thanked', 'score': 0.5136}, {'text': 'vhpdigital', 'score': 0.2254}]",For ,shows great admiration for ram mandir. 
341329,"PM @narendramodi's mother Smt. Hiraben Modi lights up diyas to celebrate #RamMandir bhoomi pujan

#JaiShriRam #AyodhyaBhoomipoojan https://t.co/4f44Vz1N1K",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'celebrate', 'lights']","[{'text': 'narendramodi', 'score': 0.6013}, {'text': 'celebrate', 'score': 0.4198}, {'text': 'lights', 'score': 0.3442}]",For ,positive attitude. 
1842247,Rightly pointed out by @AmitShah ji that Congress chose 5th August to wear black clothes because today Ram mandir Bhumi pujan happened. Such hatred for Prabhu Shri ram. #RamMandirVirodhiCongress,Pro Ruling,pro ruling,ram mandir,"['congress', 'prabhu', 'black']","[{'text': 'congress', 'score': 0.4168}, {'text': 'prabhu', 'score': 0.3799}, {'text': 'black', 'score': 0.3711}]",For ,shows congress hates sri ram. 
2148260,"Building Haj House with government fund is secularism,

Building Ram Mandir with Hindu fund is communalism",Pro Ruling,pro ruling,ram mandir,"['hindu', 'secularism', 'government']","[{'text': 'hindu', 'score': 0.532}, {'text': 'secularism', 'score': 0.4895}, {'text': 'government', 'score': 0.4213}]",For ,calls out hypocricy of critics of ram mandir. 
2725042,"Acharya Satyendra Das, the chief priest of the Ram Mandir in Ayodhya, extended his solidarity to the Bharat Jodo Yatra led by Congress leader Rahul Gandhi. | AsadRizviJourno https://t.co/MNxqX29iqz",Pro OPP,pro opposition,ram mandir,"['ayodhya', 'congress', 'extended']","[{'text': 'ayodhya', 'score': 0.6385}, {'text': 'congress', 'score': 0.1954}, {'text': 'extended', 'score': 0.1752}]",For ,shows how chief priest of ram mandir also supports national unity. 
675367,"Things that went wrong today

1. Ram Mandir at Parade
2. Religious Flag at Red Fort
3. Police using Tear Gas
4. Police Lathicharge
5. Few Miscreants posing as Farmers
6. Failure of Delhi Police
7. Spread of Misinfo on SM
8. Poorly informed Media
9. Propaganda driven reporting!!",Pro OPP,pro opposition,ram mandir,"['misinfo', 'parade', 'farmers']","[{'text': 'misinfo', 'score': 0.4098}, {'text': 'parade', 'score': 0.3887}, {'text': 'farmers', 'score': 0.2104}]",Against ,shows how India is turning communalist. 
