model,keyword,samples,unique_tweets,accuracy,f1_macro
bert,caa,19,19,0.3157894736842105,0.3058201058201058
bert,china,19,19,0.5263157894736842,0.33454545454545453
bert,congress,18,18,0.5,0.5
bert,farm laws,22,22,0.45454545454545453,0.4471380471380471
bert,farmers protests,10,10,0.5,0.5259259259259259
bert,hindu,15,15,0.6666666666666666,0.26666666666666666
bert,hindutva,14,14,0.7142857142857143,0.49673202614379086
bert,kashmir,17,17,0.6470588235294118,0.494949494949495
bert,kashmiri pandits,16,16,0.6875,0.45751633986928103
bert,modi,18,18,0.7777777777777778,0.7428571428571429
bert,muslim,20,20,0.4,0.2896825396825397
bert,new parliament,21,21,0.47619047619047616,0.46836788942052093
bert,rahulgandhi,16,16,0.625,0.5472013366750209
bert,ram mandir,21,21,0.5238095238095238,0.4247086247086247
bert,shaheen bagh,19,19,0.5789473684210527,0.527065527065527
roberta,caa,19,19,0.5789473684210527,0.5999245852187028
roberta,china,19,19,0.5263157894736842,0.2962962962962963
roberta,congress,18,18,0.5555555555555556,0.5587301587301587
roberta,farm laws,22,22,0.36363636363636365,0.3335582546108862
roberta,farmers protests,10,10,0.5,0.4444444444444444
roberta,hindu,15,15,0.6666666666666666,0.26666666666666666
roberta,hindutva,14,14,0.7857142857142857,0.5029239766081871
roberta,kashmir,17,17,0.47058823529411764,0.2222222222222222
roberta,kashmiri pandits,16,16,0.6875,0.45751633986928103
roberta,modi,18,18,0.8333333333333334,0.7999999999999999
roberta,muslim,20,20,0.4,0.27705627705627706
roberta,new parliament,21,21,0.6190476190476191,0.5064102564102564
roberta,rahulgandhi,16,16,0.625,0.5364145658263305
roberta,ram mandir,21,21,0.5238095238095238,0.35619047619047617
roberta,shaheen bagh,19,19,0.5789473684210527,0.5601851851851852
pyabsa,caa,19,19,0.5263157894736842,0.5607088989441931
pyabsa,china,19,19,0.631578947368421,0.43701226309921964
pyabsa,congress,18,18,0.5,0.4851851851851852
pyabsa,farm laws,22,22,0.3181818181818182,0.2989417989417989
pyabsa,farmers protests,10,10,0.5,0.5285714285714286
pyabsa,hindu,15,15,0.4666666666666667,0.21212121212121213
pyabsa,hindutva,14,14,0.6428571428571429,0.39376218323586737
pyabsa,kashmir,17,17,0.5294117647058824,0.4238095238095238
pyabsa,kashmiri pandits,16,16,0.75,0.4973544973544974
pyabsa,modi,18,18,0.5555555555555556,0.5495726495726495
pyabsa,muslim,20,20,0.5,0.48572683355292057
pyabsa,new parliament,21,21,0.5714285714285714,0.47148148148148145
pyabsa,rahulgandhi,16,16,0.8125,0.7805555555555556
pyabsa,ram mandir,21,21,0.38095238095238093,0.19047619047619047
pyabsa,shaheen bagh,19,19,0.5263157894736842,0.5515069725596041
mistral_base,caa,19,19,0.42105263157894735,0.446031746031746
mistral_base,china,19,19,0.6842105263157895,0.532051282051282
mistral_base,congress,18,18,0.8888888888888888,0.8661064425770307
mistral_base,farm laws,22,22,0.36363636363636365,0.3398148148148148
mistral_base,farmers protests,10,10,0.7,0.746031746031746
mistral_base,hindu,14,14,0.2857142857142857,0.22377622377622378
mistral_base,hindutva,14,14,0.5714285714285714,0.35555555555555557
mistral_base,kashmir,17,17,0.47058823529411764,0.35714285714285715
mistral_base,kashmiri pandits,16,16,0.3125,0.26495726495726496
mistral_base,modi,18,18,0.8333333333333334,0.7802197802197801
mistral_base,muslim,20,20,0.55,0.48989898989898983
mistral_base,new parliament,19,19,0.7368421052631579,0.7037037037037037
mistral_base,rahulgandhi,14,14,0.6428571428571429,0.6329004329004329
mistral_base,ram mandir,18,18,0.5555555555555556,0.42777777777777776
mistral_base,shaheen bagh,17,17,0.5882352941176471,0.4647435897435897
mistral_fewshot,caa,19,19,0.5263157894736842,0.5116883116883116
mistral_fewshot,china,19,19,0.7894736842105263,0.674074074074074
mistral_fewshot,congress,18,18,0.8888888888888888,0.8661064425770307
mistral_fewshot,farm laws,22,22,0.45454545454545453,0.45384615384615384
mistral_fewshot,farmers protests,10,10,0.7,0.7111111111111111
mistral_fewshot,hindu,15,15,0.2,0.1494949494949495
mistral_fewshot,hindutva,14,14,0.6428571428571429,0.4171122994652407
mistral_fewshot,kashmir,17,17,0.5294117647058824,0.3738562091503268
mistral_fewshot,kashmiri pandits,16,16,0.375,0.32051282051282054
mistral_fewshot,modi,18,18,0.8888888888888888,0.7916666666666666
mistral_fewshot,muslim,19,19,0.631578947368421,0.5575757575757576
mistral_fewshot,new parliament,21,21,0.8095238095238095,0.7499167499167498
mistral_fewshot,rahulgandhi,16,16,0.6875,0.6555555555555556
mistral_fewshot,ram mandir,21,21,0.6190476190476191,0.5611111111111111
mistral_fewshot,shaheen bagh,19,19,0.631578947368421,0.5777777777777778
mistral_lora,caa,19,19,0.8947368421052632,0.8956228956228957
mistral_lora,china,19,19,0.7368421052631579,0.6439560439560439
mistral_lora,congress,18,18,0.8888888888888888,0.8412698412698413
mistral_lora,farm laws,22,22,0.7272727272727273,0.7345029239766081
mistral_lora,farmers protests,10,10,0.8,0.8222222222222223
mistral_lora,hindu,15,15,0.6666666666666666,0.5925925925925926
mistral_lora,hindutva,14,14,0.8571428571428571,0.562962962962963
mistral_lora,kashmir,17,17,0.5882352941176471,0.3751803751803752
mistral_lora,kashmiri pandits,16,16,0.625,0.4257703081232493
mistral_lora,modi,18,18,0.9444444444444444,0.9111111111111111
mistral_lora,muslim,19,19,0.7894736842105263,0.7854636591478696
mistral_lora,new parliament,21,21,0.8571428571428571,0.8238705738705739
mistral_lora,rahulgandhi,16,16,0.8125,0.8190476190476191
mistral_lora,ram mandir,21,21,0.7142857142857143,0.6972222222222223
mistral_lora,shaheen bagh,19,19,0.7894736842105263,0.7140350877192981
